id_instrumento;tipo_documento;documento;url_documento;observacoes
CG_001/2018;Contrato de Gestão;Contrato de Gestão;https://drive.google.com/file/d/1F8YFTplFTvopI7tN_8KodEMrR83HGAum/view;
CG_002/2019;Contrato de Gestão;Contrato de Gestão;http://www.seguranca.mg.gov.br/images/2019/DEZEMBRO/II%20Termo%20Aditivo%20ao%20Contrato%20de%20Gesto%20n%2002-2019.pdf;
CG_002/2019;Termo Aditivo;2º Termo Aditivo;https://docs.google.com/uc?export=download&id=1IvlRmrzy2Zs878xSI2Gr6lyti5-SF-xF;
CG_002/2019;Termo Aditivo;3º Termo Aditivo;https://docs.google.com/uc?export=download&id=1NAGbyMtwx3Oe4h21gD1O5m8VBySBHSyT;
CG_002/2019;Termo Aditivo;4º Termo Aditivo;https://docs.google.com/uc?export=download&id=17XSab1U9EAsqmDD9FWrT8XRiOVlPuDU3;
CG_002/2019;Termo Aditivo;5º Termo Aditivo;https://docs.google.com/uc?export=download&id=1PneS0eipVHLgYsLVyBIl6C03HJxtl5vP;
CG_002/2019;Termo Aditivo;6º Termo Aditivo;https://docs.google.com/uc?export=download&id=1jn7TS8dmOvsXQBPf-uRw9QTW6zkZKtE9;
CG_002/2019;Termo de Alteração Simples;1º Termo de Alteração Simples;https://docs.google.com/uc?export=download&id=1OoC-VOxWjldO6O6sYQinMVCzAYMhX6AX;
CG_002/2019;Termo de Alteração Simples;2º Termo de Alteração Simples;http://www.seguranca.mg.gov.br/images/2022/Dezembro/VII%20Termo%20Aditivo%20ao%20Contrato%20de%20Gesto%20n%2002_2019.pdf;
CG_002/2019;Termo de Alteração Simples;3º Termo de Alteração Simples;https://www.seguranca.mg.gov.br/images/seds_docs/Prevencao/SEI_63300425_Termo_de_Alteracao_Simples_n__05_2023.pdf;
CG_002/2019;Termo de Alteração Simples;4º Termo de Alteração Simples;https://www.seguranca.mg.gov.br/images/2023/Dezembro/VIII_Termo_Aditivo_ao_Contrato_de_Gest%C3%A3o_n%C2%BA_02_2019.pdf;
CG_002/2019;Termo de Apostilamento;1º Termo de Apostilamento;https://drive.google.com/file/d/120u0xq7kMXKM-Ix4Ko1Vi34cBXLiZIEx/view;
CG_002/2019;Termo de Apostilamento;2º Termo de Apostilamento;https://drive.google.com/file/d/1fEag7FUDGzNeu6E_BpXQuVVqTtLNu98E/view;
CG_002/2019;Termo de Apostilamento;3º Termo de Apostilamento;https://drive.google.com/file/d/1Mn1BVwaNpBs8XcmQT3o6ApNmKx-gAVfN/view;
CG_002/2019;Termo de Apostilamento;4º Termo de Apostilamento;https://drive.google.com/file/d/11rFOouzu5BAVVAe-YCuU1dBHgJ9Xl3nn/view;
CG_002/2019;Termo de Apostilamento;5º Termo de Apostilamento;https://fcs.mg.gov.br/wp-content/uploads/2022/12/4o-Termo-Aditivo.pdf;
CG_002/2019;Termo Aditivo;7º Termo Aditivo;https://fcs.mg.gov.br/wp-content/uploads/2023/09/6o-TA-Assinado.pdf;
CG_002/2019;Termo de Apostilamento;6º Termo de Apostilamento;https://fcs.mg.gov.br/wp-content/uploads/2022/12/2o-Termo-de-alterac%CC%A7a%CC%83o-Simples.pdf;
CG_002/2019;Termo de Alteração Simples;5º Termo de Alteração Simples;https://fcs.mg.gov.br/wp-content/uploads/2022/07/SEI_GOVMG-48948762-4o-Termo-de-Alterac%CC%A7a%CC%83o-Simples.pdf;
CG_002/2019;Termo de Apostilamento;7º Termo de Apostilamento;Não publicado.;
CG_002/2019;Termo Aditivo;8º Termo Aditivo;https://fcs.mg.gov.br/wp-content/uploads/2021/08/SEI_GOVMG-32323594-2o-Termo-de-Apostilamento.pdf;
