id_instrumento;ano;repasse_previsto;repasse_atualizado;observacoes
TP_001/2005;2005;130332,2;130332,2;
TP_002/2005;2005;3705703,8;3705703,8;
TP_003/2005;2005;66680,0;66680,0;
TP_004/2005;2005;1620000,0;1620000,0;
TP_005/2005;2005;2700000,0;2307717,41;
TP_006/2005;2005;461000,0;461000,0;
TP_001/2005;2006;56306,6;56306,6;
TP_002/2005;2006;2728933,38;2274111,15;
TP_003/2005;2006;103320,0;103320,0;
TP_004/2005;2006;1305000,0;1305000,0;
TP_005/2005;2006;9906982,4;9906982,4;
TP_006/2005;2006;385000,0;0,0;
TP_007/2006;2006;733548,0;733548,0;
TP_008/2006;2006;346000,0;346000,0;
TP_009/2006;2006;54770,0;54770,0;
TP_010/2006;2006;308025,0;308025,0;
TP_011/2006;2006;993425,4;448729,05;
TP_002/2005;2007;8028206,2;8483028,38;
TP_005/2005;2007;13585726,19;13585726,19;
TP_006/2005;2007;666169,0;666169,0;
TP_007/2006;2007;1077432,2;1077432,2;
TP_010/2006;2007;85575,0;85575,0;
TP_011/2006;2007;0,0;544696,35;
TP_012/2006;2007;9542448,68;9542448,68;
TP_013/2007;2007;1306312,44;1250144,67;
TP_014/2007;2007;1717000,0;1717000,0;
TP_015/2007;2007;2973400,0;3000000,0;
TP_016/2007;2007;3662399,82;1851087,44;
TP_017/2007;2007;399824,4;233230,9;
TP_018/2007;2007;516533,89;516533,89;
TP_002/2005;2008;9389816,8;9389816,76;
TP_005/2005;2008;10800000,0;10800000,0;
TP_006/2005;2008;980000,0;1280000,0;
TP_012/2006;2008;8066415,56;5275321,56;
TP_013/2007;2008;1306167,75;1362335,52;
TP_014/2007;2008;1793532,0;1793000,0;
TP_015/2007;2008;2715569,0;2715569,0;
TP_016/2007;2008;13617176,97;6247075,15;
TP_017/2007;2008;786010,3;711311,75;
TP_018/2007;2008;1855338,96;1855338,96;
TP_019/2008;2008;15660713,6;12343271,8;
TP_020/2008;2008;499253,92;266577,16;
TP_021/2008;2008;4922288,5;4341660,01;
TP_022/2008;2008;1192350,0;1117332,0;
TP_023/2008;2008;314914,23;314914,23;
TP_002/2005;2009;11652140,8;11652140,8;
TP_005/2005;2009;13286000,0;13272800,0;
TP_006/2005;2009;1024100,0;1023946,49;
TP_012/2006;2009;3463119,9;6254213,9;
TP_013/2007;2009;1333606,11;1333606,11;
TP_017/2007;2009;999998,3;1241290,35;
TP_018/2007;2009;3542146,66;3527380,0;
TP_019/2008;2009;9845044,19;13033504,59;
TP_020/2008;2009;1136315,38;1368992,14;
TP_021/2008;2009;17207554,34;10752223,89;
TP_022/2008;2009;3065287,94;3065287,94;
TP_023/2008;2009;2891380,2;2398001,05;
TP_024/2009;2009;2044177,0;1868176,59;
TP_025/2009;2009;3640626,01;3640626,01;
TP_026/2009;2009;2031068,72;2003199,68;
TP_027/2009;2009;30029756,0;9241800,0;
TP_002/2005;2010;15644185,0;15644185,0;
TP_005/2005;2010;16227127,0;16222605,0;
TP_006/2005;2010;1181895,93;1109442,0;
TP_013/2007;2010;266393,89;227325,84;
TP_017/2007;2010;758541,0;758541,0;
TP_018/2007;2010;2402919,85;2360383,55;
TP_019/2008;2010;15769760,0;15769760,0;
TP_020/2008;2010;1232907,17;1232907,17;
TP_022/2008;2010;3822024,81;2890932,51;
TP_023/2008;2010;7220000,0;5294311,89;
TP_024/2009;2010;1681085,0;1681085,0;
TP_025/2009;2010;3900500,0;3900500,0;
TP_026/2009;2010;2389000,0;1571809,18;
TP_027/2009;2010;38741141,97;34736540,84;
TP_028/2010;2010;120000,0;120000,0;
TP_030/2010;2010;240000,0;240000,0;
TP_002/2005;2011;14580473,35;14580473,35;
TP_005/2005;2011;22996436,0;22996436,0;
TP_006/2005;2011;1300086,0;1300086,0;
TP_017/2007;2011;834396,0;834396,0;
TP_018/2007;2011;928638,39;0,0;
TP_019/2008;2011;16806234,17;15971550,63;
TP_020/2008;2011;1299970,08;1117289,09;
TP_022/2008;2011;3975162,0;3805380,6;
TP_023/2008;2011;8130000,0;7229999,54;
TP_024/2009;2011;950000,0;845000,0;
TP_027/2009;2011;14952208,65;2438494,7;
TP_028/2010;2011;268800,0;134400,0;
TP_029/2011;2011;6496000,0;6496003,0;
TP_030/2010;2011;6704326,4;6402624,48;
TP_031/2011;2011;1125143,23;1119649,47;
TP_002/2005;2012;21204742,96;20797652,17;
TP_005/2005;2012;23946866,89;23946866,89;
TP_006/2005;2012;1043999,99;1036641,96;
TP_017/2007;2012;834396,0;834396,0;
TP_019/2008;2012;16806234,0;16806232,0;
TP_020/2008;2012;1272745,05;1207284,68;
TP_022/2008;2012;5190178,7;4930505,94;
TP_023/2008;2012;8126000,0;7018288,2;
TP_024/2009;2012;1348331,32;1574088,22;
TP_029/2011;2012;6070000,0;6030723,64;
TP_032/2012;2012;3522719,01;1629316,61;
TP_002/2005;2013;28437819,67;24521237,62;
TP_005/2005;2013;25856376,14;25856376,14;
TP_006/2005;2013;1408421,75;1367844,04;
TP_017/2007;2013;834396,0;834396,0;
TP_019/2008;2013;17280350,82;15875458,21;
TP_022/2008;2013;4403872,11;3904962,06;
TP_023/2008;2013;8059246,72;6534923,75;
TP_024/2009;2013;1461692,11;1235935,2;
TP_032/2012;2013;5933527,71;5464525,27;
TP_033/2013;2013;1176870,55;1176868,24;
TP_034/2013;2013;2271737,43;714799,9;
TP_002/2005;2014;28073042,88;15604844,82;
TP_005/2005;2014;23507847,32;23507847,32;
TP_006/2005;2014;2108421,14;2108422,0;
TP_017/2007;2014;834396,0;834396,0;
TP_019/2008;2014;22582879,16;22582859,15;
TP_022/2008;2014;3974069,91;3902263,9;
TP_023/2008;2014;8200000,0;8200000,0;
TP_024/2009;2014;1840664,78;1716145,68;
TP_032/2012;2014;5333527,71;4757709,37;
TP_033/2013;2014;1177917,72;1147589,06;
TP_034/2013;2014;15659,93;1691239,09;
TP_002/2005;2015;26103861,88;24742729,64;
TP_005/2005;2015;4999877,66;0,0;
TP_006/2005;2015;2600000,0;2120000,01;
TP_019/2008;2015;18257024,5;16737641,02;
TP_022/2008;2015;1123846,82;697108,31;
TP_023/2008;2015;7699999,99;8834374,49;
TP_032/2012;2015;4563101,91;291342,54;
TP_033/2013;2015;665503,85;571096,85;
TP_002/2005;2016;8641463,17;7674492,8;
TP_019/2008;2016;18299408,02;18280082,67;
TP_035/2016;2016;20451659,95;20451659,95;
TP_036/2016;2016;1561177,51;1126189,48;
TP_037/2016;2016;1992077,91;1491917,62;
TP_038/2016;2016;2846070,54;2846070,54;
TP_019/2008;2017;18298315,21;13203484,02;
TP_035/2016;2017;11312906,64;6528342,82;
TP_036/2016;2017;100752,48;60718,95;
TP_037/2016;2017;492209,28;886432,91;
TP_038/2016;2017;653919,4;198030,86;
TP_039/2016;2017;1745896,4;927674,19;
TP_040/2017;2017;3909551,52;2954191,53;
TP_041/2017;2017;2177701,51;2177701,51;
TP_042/2017;2017;2091134,0;2091134,01;
TP_043/2017;2017;935931,38;935930,78;
TP_044/2017;2017;8078845,04;0,0;
TP_019/2008;2018;18293837,15;20250000,0;
TP_040/2017;2018;142789,31;669781,38;
TP_041/2017;2018;2825368,12;2825368,12;
TP_042/2017;2018;2287969,32;2287969,32;
TP_043/2017;2018;1321364,53;1321364,53;
TP_044/2017;2018;38765571,29;33291766,98;
TP_045/2017;2018;2134311,11;1431669,53;
TP_046/2018;2018;4020126,02;4020126,02;
TP_047/2018;2018;630113,2;630113,2;
TP_048/2018;2018;2082966,8;2082966,8;
CG_001/2018;2019;9147651,79;8318281,1;
CG_002/2019;2019;26624780,2;19507856,81;
CG_003/2019;2019;9150000,0;6871554,96;
TP_041/2017;2019;2156812,09;2156812,09;
TP_042/2017;2019;1678254,12;1678254,12;
TP_043/2017;2019;944239,79;944239,79;
TP_045/2017;2019;1203666,3;1203666,3;
TP_046/2018;2019;3739596,97;3739596,96;
TP_048/2018;2019;1500000,0;1269589,53;
CG_002/2019;2020;11459618,64;8861999,23;
CG_004/2019;2020;8750000,0;6750000,0;
CG_005/2019;2020;4877875,38;4877875,38;
CG_006/2020;2020;6750000,0;6750000,0;
TP_049/2020;2020;3715941,7;614250,1;
TP_050/2020;2020;330000,0;330000,0;
CG_002/2019;2021;24448191,0;20842671,84;
CG_005/2019;2021;5419861,48;5120687,35;
CG_006/2020;2021;17500000,0;17500000,0;
CG_007/2021;2021;26479890,17;17110982,93;
CG_008/2021;2021;41877673,64;41877673,64;
TP_049/2020;2021;3516961,55;218112,95;
TP_050/2020;2021;2132412,0;1770313,77;
CG_002/2019;2022;30286386,21;30286386,21;
CG_005/2019;2022;7639859,75;7120905,73;
CG_006/2020;2022;17500000,0;17500000,0;
CG_008/2021;2022;67233968,3;45875745,45;
TP_049/2020;2022;3298848,59;3298848,59;
TP_050/2020;2022;900480,15;900480,15;
TP_051/2021;2022;4707864,8;2472460,82;
CG_002/2019;2023;29550144,08;8462469,79;
CG_005/2019;2023;8839471,540000001;5575510,390000001;
CG_006/2020;2023;17500000,0;11599288,68;
CG_008/2021;2023;35813052,17;35813052,17;
TP_051/2021;2023;14848228,05;1126377,02;
TP_052/2023;2023;16629000,000000002;3868021,14;
