ID_INSTRUMENTO;TIPO_INSTRUMENTO;NUM_TERMO_CONTRATO;ORGAO_ESTATAL_CODIGO;ORGAO_ESTATAL_NOME;ORGAO_ESTATAL_SIGLA;ENTIDADE_PARCEIRA_NOME;ENTIDADE_PARCEIRA_SIGLA;ENTIDADE_PARCEIRA_CNPJ;OBJETO;SITUACAO;DATA_INICIO_VIGENCIA;DATA_FIM_VIGENCIA;URL_INTEGRA_TERMO_CONTRATO;URL_DOCUMENTOS_TERMO_CONTRATO
CG_001/2018;Contrato de Gestão;001/2018;1271;Secretaria de Estado de Cultura de Minas Gerais;SEC;Instituto Cultural Filarmônica;ICF;07.837.375/0001-50;Desenvolvimento de atividades culturais para a sociedade, voltadas para a difusão da música clássica, por meio da criação, estruturação e manutenção de uma nova orquestra sinfônica para o Estado de Minas Gerais, de natureza privada e sem fins lucrativos, que se denominará Orquestra Filarmônica de Minas Gerais.;Extinto;2018-12-29;2019-06-26;https://drive.google.com/file/d/1F8YFTplFTvopI7tN_8KodEMrR83HGAum/view;https://www.secult.mg.gov.br/documentos/contratos-de-gestao
CG_002/2019;Contrato de Gestão;002/2019;1691;Secretaria de Estado de Justiça e Segurança Pública;SEJUSP;Instituto Elo;IELO;07.514.913/0001-75;Co-execução de ações da Política Estadual de Prevenção Social à Criminalidade, propiciando o desenvolvimento das atividades das Unidades e dos Programas de Prevenção Social à Criminalidade definidos pela SESP/SUPEC.;Vigente;2019-02-12;2020-12-31;https://drive.google.com/drive/folders/1obiHvus6CevuaB_mOfH27pOm68Ox_lQa;http://www.seguranca.mg.gov.br/component/gmg/page/2994-contrato-de-gestao-n-02-2019
CG_003/2019;Contrato de Gestão;003/2019;1271;Secretaria de Estado de Cultura de Minas Gerais;SEC;Instituto Cultural Filarmônica;ICF;07.837.375/0001-50;Desenvolvimento de atividades culturais para a sociedade, voltadas para a difusão da música clássica, por meio da criação, estruturação e manutenção de uma nova orquestra sinfônica para o Estado de Minas Gerais, de natureza privada e sem fins lucrativos, que se denominará Orquestra Filarmônica de Minas Gerais.;Extinto;2019-06-27;2019-12-23;https://drive.google.com/file/d/120u0xq7kMXKM-Ix4Ko1Vi34cBXLiZIEx/view;http://www.secult.mg.gov.br/documentos/contratos-de-gestao
CG_004/2019;Contrato de Gestão;004/2019;1271;Secretaria de Estado de Cultura de Minas Gerais;SEC;Instituto Cultural Filarmônica;ICF;07.837.375/0001-50;Desenvolvimento de atividades culturais para a sociedade, voltadas para a difusão da música clássica, por meio da criação, estruturação e manutenção de uma nova orquestra sinfônica para o Estado de Minas Gerais, de natureza privada e sem fins lucrativos, que se denominará Orquestra Filarmônica de Minas Gerais.;Extinto;2019-12-21;2020-06-17;https://drive.google.com/file/d/1fEag7FUDGzNeu6E_BpXQuVVqTtLNu98E/view;http://www.secult.mg.gov.br/documentos/contratos-de-gestao
CG_005/2019;Contrato de Gestão;005/2019;2181;Fundação Clóvis Salgado;FCS;Associação Pró-Cultura e Promoção das Artes;APPA;70.945.209/0001-03;Apoiar as áreas temáticas de Programação Artística, Produção Artística, Formação Artística e Tecnológica, realizar a gestão, operação, manutenção, desenvolvimento, implantação, realização e comercialização de serviços e atividades de formação cultural do Centro Técnico de Produção e Formação Raul Belém Machado – CTPF, e realizar Captação de Recursos para as áreas temáticas e para o CTPF.;Vigente;2019-12-31;2023-12-30;https://drive.google.com/file/d/1Mn1BVwaNpBs8XcmQT3o6ApNmKx-gAVfN/view;http://fcs.mg.gov.br/institucional/contrato-de-gestao-termos-de-parceria/
CG_006/2020;Contrato de Gestão;006/2020;1271;Secretaria de Estado de Cultura de Minas Gerais;SEC;Instituto Cultural Filarmônica;ICF;07.837.375/0001-50;"Realizar a gestão operacional do Centro de Cultura Presidente Itamar Franco e de suas áreas vinculadas incluindo: 1) Desenvolvimento de atividades culturais para a sociedade, voltadas para a difusão da música sinfônica e da música de concerto, por meio da gestão, operação e manutenção da Orquestra Filarmônica de Minas Gerais, juntamente com a gestão, operação e manutenção da Sala Minas Gerais; e 2) A gestão, operação e manutenção das áreas comuns do Centro de Cultura e do estacionamento, bem como o desenvolvimento, implantação, realização e comercialização de serviços, eventos, e atividades de ocupação cultural do complexo.";Vigente;2020-07-31;2023-12-31;https://drive.google.com/file/d/18jVy5xBowo_rYNzKP_NFAC5tywqWBOZL/view;https://www.secult.mg.gov.br/documentos/contratos-de-gestao
CG_007/2021;Contrato de Gestão;007/2021;1691;Secretaria de Estado de Justiça e Segurança Pública;SEJUSP;Instituto Elo;IELO;07.514.913/0001-75;A cogestão de medida socioeducava de internação nos municípios de Araxá, Belo Horizonte, Ipanga, Sete Lagoas, Uberaba e Unaí;Encerrado;2021-01-13;2021-07-11;http://www.seguranca.mg.gov.br/images/cogestao_suase/011%20SEI_GOVMG%20-%2024177074%20-%20Contrato.pdf;http://www.seguranca.mg.gov.br/socioeducativo/parcerias
CG_008/2021;Contrato de Gestão;008/2021;1691;Secretaria de Estado de Justiça e Segurança Pública;SEJUSP;Instituto Elo;IELO;07.514.913/0001-75;A cogestão de medida socioeducava de internação nos municípios de Araxá, Belo Horizonte, Ipanga, Sete Lagoas, Uberaba e Unaí;Vigente;2021-07-12;2022-07-12;http://www.seguranca.mg.gov.br/images/2021/Julho/Documentos/SEI_GOVMG%20-%2032112094%20-%20Contrato.pdf;http://www.seguranca.mg.gov.br/socioeducativo/parcerias
TP_001/2005;Termo de Parceria;001/2005;1481;Secretaria de Estado de Desenvolvimento Social;SEDESE;Organização para a Educação e Extensão da Cidadania;ECO;05.381.244/0001-85;Implantação de uma Escola - Unidade Produtiva de Papel Artesanal Reciclado no Centro Público de Promoção do Trabalho - CPPT, cujas finalidade são informar, formar, qualificar e capacitar detentos em regime aberto e semi-aberto do CERESP e moradores da região, na produção manual de papel reciclado artesanal e produtos derivados da recilagem, reutillização e reaproveitamento de resíduos sólidos, oferecendo cursos de educação ambiental, construindo conhecimento e fomentando a prática em torno da reciclagem, preservação ambiental, na geração de trabalho e renda e no combate a pobreza.;Encerrado;2005-06-28;2006-06-28;;
TP_002/2005;Termo de Parceria;002/2005;1451;Secretaria de Estado de Defesa Social;SEDS;Instituto Elo;ELO;07.514.913/0001-75;"Desenvolver ações relativas à prevenção social da criminalidade e da violência, por meio da implantação, desenvolvimento e consolidação de Centros de Prevenção à Criminalidade - CPCs que: a) - previnam o ingresso de jovens na criminalidade; b) - realizem o monitoramento de Penas e Medidas Alternativas; c) - promovam, por meio de atendimento psicossocial, a educação e capacitação profissional do Egresso do sistema Penitenciário, objetivando uma efetiva integração social; d) - estabeleçam ações de Mediação; e) - realizem e promovam ações de enfrentamento ao tráfico de pessoas.";Encerrado;2005-09-14;2016-02-29;;
